S.No.,Description,Sub Class,Class,Group,Division,Section
79,"Raising and breeding of pet animals (cats, dogs, birds, hamsters etc.)",1491,149,14,"Crop and animal production, hunting and related service activities","Agriculture, forestry and fishing"
79,"Raising and breeding pet animals (cats, dogs, birds, hamsters etc.) related business activity",1491,149,14,"Crop and animal production, hunting and related service activities","Agriculture, forestry and fishing"
79,"Services related to raising and breeding pet animals (cats, dogs, birds, hamsters etc.)",1491,149,14,"Crop and animal production, hunting and related service activities","Agriculture, forestry and fishing"
80,Bee-keeping and production of honey and beeswax,1492,149,14,"Crop and animal production, hunting and related service activities","Agriculture, forestry and fishing"
80,Bee-keeping and honey and beeswax related business activity,1492,149,14,"Crop and animal production, hunting and related service activities","Agriculture, forestry and fishing"
80,Services related to bee-keeping and honey and beeswax,1492,149,14,"Crop and animal production, hunting and related service activities","Agriculture, forestry and fishing"
81,"Raising of silk worms, production of silk worm cocoons",1493,149,14,"Crop and animal production, hunting and related service activities","Agriculture, forestry and fishing"
81,"Raising silk worms, silk worm cocoons related business activity",1493,149,14,"Crop and animal production, hunting and related service activities","Agriculture, forestry and fishing"
81,"Services related to raising silk worms, silk worm cocoons",1493,149,14,"Crop and animal production, hunting and related service activities","Agriculture, forestry and fishing"
82,"Raising of other animals, n.e.c.",1499,149,14,"Crop and animal production, hunting and related service activities","Agriculture, forestry and fishing"
82,"Raising other animals, n.e.c. related business activity",1499,149,14,"Crop and animal production, hunting and related service activities","Agriculture, forestry and fishing"
82,"Services related to raising other animals, n.e.c.",1499,149,14,"Crop and animal production, hunting and related service activities","Agriculture, forestry and fishing"
83,Mixed farming,1500,150,15,"Crop and animal production, hunting and related service activities","Agriculture, forestry and fishing"
83,Mixed farming related business activity,1500,150,15,"Crop and animal production, hunting and related service activities","Agriculture, forestry and fishing"
83,Services related to mixed farming,1500,150,15,"Crop and animal production, hunting and related service activities","Agriculture, forestry and fishing"
84,"Agricultural activities on a fee or contract basis (preparation of fields, establishing a crop, treatment of crops, crop spraying, trimming of fruit trees and vines, transplanting of rice, thinning of beets, harvesting, pest control in connection with agr",1611,161,16,"Crop and animal production, hunting and related service activities","Agriculture, forestry and fishing"
84,"Agricultural on a fee or contract basis (preparation fields, establishing a crop, treatment crops, crop spraying, trimming fruit trees and vines, transplanting rice, thinning beets, harvesting, pest control in connection with agr related business activity",1611,161,16,"Crop and animal production, hunting and related service activities","Agriculture, forestry and fishing"
84,"Services related to agricultural on a fee or contract basis (preparation fields, establishing a crop, treatment crops, crop spraying, trimming fruit trees and vines, transplanting rice, thinning beets, harvesting, pest control in connection with agr",1611,161,16,"Crop and animal production, hunting and related service activities","Agriculture, forestry and fishing"
85,Operation of agricultural irrigation equipment,1612,161,16,"Crop and animal production, hunting and related service activities","Agriculture, forestry and fishing"
85,Operation agricultural irrigation equipment related business activity,1612,161,16,"Crop and animal production, hunting and related service activities","Agriculture, forestry and fishing"
85,Services related to operation agricultural irrigation equipment,1612,161,16,"Crop and animal production, hunting and related service activities","Agriculture, forestry and fishing"
86,"Other supporting activities including agricultural gardening (excluding parks and gardening activities),n.e.c.",1619,161,16,"Crop and animal production, hunting and related service activities","Agriculture, forestry and fishing"
86,"Other supporting including agricultural gardening (excluding parks and gardening activities),n.e.c. related business activity",1619,161,16,"Crop and animal production, hunting and related service activities","Agriculture, forestry and fishing"
86,"Services related to other supporting including agricultural gardening (excluding parks and gardening activities),n.e.c.",1619,161,16,"Crop and animal production, hunting and related service activities","Agriculture, forestry and fishing"
